id,user_id,username,action,resource,status,details,ip_address,user_agent,created_at
152,1,admin1,login,,success,{'method': 'otp'},,,2026-04-18 18:36:49.440688+00:00
151,2,analyst1,login,,success,{'method': 'otp'},,,2026-04-18 18:36:07.397229+00:00
150,14,analyst5,password_change,,success,{'session_invalidation': 'all_sessions_invalidated'},,,2026-04-18 18:33:34.935277+00:00
149,14,admin1,session_invalidation,all_sessions,success,"{'reason': 'password_change', 'sessions_invalidated': 0}",,,2026-04-18 18:33:34.655969+00:00
148,1,admin1,user_create,analyst5,success,"{'role': 'Analyst', 'email': 'feyfeyf44@gmail.com', 'password_set_by': 'auto'}",,,2026-04-18 18:30:04.397976+00:00
147,1,analyst5,user_create,analyst5,success,"{'role': 'Analyst', 'must_change_password': True}",,,2026-04-18 18:30:04.131486+00:00
146,1,admin1,security_violation,C:\Users\USER\Downloads\uds_ids_dataset.csv,blocked,"{'type': 'invalid_csv', 'reason': ""Column 'Flow Bytes/s' contains extreme values > 1e15"", 'operation': 'train'}",,,2026-04-18 17:45:40.511760+00:00
145,1,admin1,security_violation,C:\Users\USER\Downloads\uds_ids_dataset.csv,blocked,"{'type': 'invalid_csv', 'reason': ""File path rejected: Dangerous character '\\' in argument: C:\\Users\\USER\\Downloads\\uds_ids_dataset.csv"", 'operation': 'train'}",,,2026-04-18 17:26:31.476989+00:00
144,1,admin1,login,,success,{'method': 'otp'},,,2026-04-18 17:26:24.113369+00:00
143,1,admin1,login,,success,{'method': 'otp'},,,2026-04-17 14:43:09.439503+00:00
142,1,admin1,login,,success,{'method': 'otp'},,,2026-04-17 14:42:11.938315+00:00
141,1,admin1,user_role_update,analyst4,success,{'new_role': 'Analyst'},,,2026-04-17 14:21:44.560249+00:00
140,1,admin1,user_role_update,analyst4,success,{'new_role': 'Administrator'},,,2026-04-17 14:21:30.702079+00:00
139,1,admin1,user_delete,analyst4,success,,,,2026-04-17 14:21:19.823140+00:00
138,13,tester,login,,success,{'method': 'otp'},,,2026-04-17 07:40:05.152708+00:00
137,13,tester,password_change,,success,,,,2026-04-17 07:39:31.180210+00:00
136,13,tester,login,,success,{'method': 'otp'},,,2026-04-17 07:37:40.025700+00:00
135,3,admin2,login,,success,{'method': 'otp'},,,2026-04-17 07:33:58.897822+00:00
134,13,tester,login,,success,{'method': 'otp'},,,2026-04-17 05:57:06.397570+00:00
133,1,admin1,login,,success,{'method': 'otp'},,,2026-04-17 05:22:11.490064+00:00
132,3,admin2,login,,success,{'method': 'otp'},,,2026-04-17 03:05:37.587629+00:00
131,1,admin1,login,,success,{'method': 'otp'},,,2026-04-16 16:56:38.512806+00:00
130,13,tester,login,,success,{'method': 'otp'},,,2026-04-16 14:02:51.848158+00:00
129,13,tester,login,,success,{'method': 'otp'},,,2026-04-16 13:56:25.724880+00:00
128,2,analyst1,login,,success,{'method': 'otp'},,,2026-04-16 12:59:59.837691+00:00
127,4,admin3,login,,success,{'method': 'otp'},,,2026-04-16 12:30:05.779581+00:00
126,4,admin3,login,,success,{'method': 'otp'},,,2026-04-16 12:09:06.384932+00:00
125,3,admin2,login,,success,{'method': 'otp'},,,2026-04-16 09:47:48.377376+00:00
124,13,tester,login,,success,{'method': 'otp'},,,2026-04-16 09:45:23.736507+00:00
123,13,tester,login,,success,{'method': 'otp'},,,2026-04-16 09:39:54.809536+00:00
122,13,tester,login,,success,{'method': 'otp'},,,2026-04-16 09:09:06.084289+00:00
121,1,admin1,login,,success,{'method': 'otp'},,,2026-04-16 01:02:52.166519+00:00
120,1,admin1,login,,success,{'method': 'otp'},,,2026-04-16 00:17:07.783510+00:00
119,1,admin1,login,,success,{'method': 'otp'},,,2026-04-15 21:35:50.966251+00:00
118,4,admin3,login,,success,{'method': 'otp'},,,2026-04-15 15:48:16.148980+00:00
117,4,admin3,login,,success,{'method': 'otp'},,,2026-04-15 07:12:50.922486+00:00
116,4,admin3,login,,success,{'method': 'otp'},,,2026-04-15 06:52:56.492657+00:00
115,4,admin3,login,,success,{'method': 'otp'},,,2026-04-15 06:17:45.199772+00:00
114,13,tester,login,,success,{'method': 'otp'},,,2026-04-13 16:59:37.616685+00:00
113,13,tester,login,,success,{'method': 'otp'},,,2026-04-13 15:28:10.454552+00:00
112,13,tester,login,,success,{'method': 'otp'},,,2026-04-12 11:10:12.767468+00:00
111,13,tester,login,,success,{'method': 'otp'},,,2026-04-12 10:49:43.496247+00:00
110,13,tester,login,,success,{'method': 'otp'},,,2026-04-12 10:29:30.822562+00:00
109,13,tester,login,,success,{'method': 'otp'},,,2026-04-12 10:05:37.924948+00:00
108,13,tester,login,,success,{'method': 'otp'},,,2026-04-12 09:57:49.689176+00:00
107,13,tester,login,,success,{'method': 'otp'},,,2026-04-12 05:22:23.733525+00:00
106,13,tester,login,,success,{'method': 'otp'},,,2026-04-12 05:13:55.736825+00:00
105,13,tester,login,,success,{'method': 'otp'},,,2026-04-12 04:47:35.844180+00:00
104,13,tester,login,,success,{'method': 'otp'},,,2026-04-12 03:28:14.954805+00:00
103,13,tester,login,,success,{'method': 'otp'},,,2026-04-12 01:05:53.947912+00:00
